 , LDA, TOT_LDA

tp, 3597, 7336 
tn, 228602, 280172 
fp, 127727, 76157 
fn, 5159, 1420 
precision, 0.027390, 0.087864 
recall, 0.410804, 0.837825 
rand_index, 0.636014, 0.787510 
jc, 0.026355, 0.086394 
