 , LDA, TOT_LDA

tp, 3597.000000, 7336.000000 
tn, 228602.000000, 280172.000000 
fp, 127727.000000, 76157.000000 
fn, 5159.000000, 1420.000000 
precision, 0.027390, 0.087864 
recall, 0.410804, 0.837825 
rand_index, 0.636014, 0.787510 
jc, 0.026355, 0.086394 
