corpus=918, words=10275, K=20, a=0.200000, b=0.300000
initial perplexity=1876.647973
-288 p=1347.253017
-289 p=1347.269461
-290 p=1349.052824
-291 p=1349.115448
-292 p=1347.502946
-293 p=1347.652024
-294 p=1346.662035
-295 p=1347.776748
-296 p=1347.801332
-297 p=1349.212634
-298 p=1349.466852
-299 p=1348.263494
-300 p=1348.575271
-301 p=1348.022619
-302 p=1348.528980
-303 p=1348.805334
-304 p=1348.221790
-305 p=1346.220823
-306 p=1347.266335
-307 p=1347.428773
-308 p=1347.628080
-309 p=1348.227867
-310 p=1347.564620
-311 p=1348.922087
-312 p=1347.841994
-313 p=1348.236445
-314 p=1348.820250
-315 p=1348.910461
-316 p=1349.911730
-317 p=1350.502396
-318 p=1348.745088
-319 p=1349.597701
-320 p=1348.300213
-321 p=1348.430672
-322 p=1349.461619
-323 p=1350.061761
-324 p=1349.303726
-325 p=1350.005892
-326 p=1349.319832
-327 p=1349.240372
-328 p=1348.783430
-329 p=1347.993407
-330 p=1348.337741
-331 p=1348.728201
-332 p=1349.607005
-333 p=1349.964189
-334 p=1350.406316
-335 p=1351.304897
-336 p=1352.587358
-337 p=1351.311681
-338 p=1351.233715
-339 p=1350.672566
-340 p=1350.528595
-341 p=1349.548302
-342 p=1350.196865
-343 p=1350.773580
-344 p=1348.640990
-345 p=1347.435106
-346 p=1346.630439
-347 p=1348.371610
-348 p=1349.194180
-349 p=1349.203663
-350 p=1349.566391
-351 p=1347.941582
-352 p=1348.056091
-353 p=1346.187160
-354 p=1344.997578
-355 p=1342.540810
-356 p=1343.501197
-357 p=1342.639401
-358 p=1344.123976
-359 p=1343.651130
-360 p=1344.221511
-361 p=1344.838892
-362 p=1345.809779
-363 p=1344.826132
-364 p=1345.175879
-365 p=1344.732455
-366 p=1341.719858
-367 p=1340.650299
-368 p=1340.238951
-369 p=1340.432455
-370 p=1343.405046
-371 p=1342.486761
-372 p=1343.525627
-373 p=1343.079213
-374 p=1344.074902
-375 p=1343.058044
-376 p=1344.892770
-377 p=1343.882053
-378 p=1343.562473
-379 p=1344.082578
-380 p=1345.312906
-381 p=1343.136093
-382 p=1342.220456
-383 p=1341.708271
-384 p=1341.072056
-385 p=1342.455698
-386 p=1342.305208
-387 p=1342.407651
-388 p=1342.376241
-389 p=1342.906470
-390 p=1342.619270
-391 p=1345.151493
-392 p=1344.357700
-393 p=1345.407447
-394 p=1344.213520
-395 p=1343.586967
-396 p=1344.723937
-397 p=1344.868900
-398 p=1344.612166
-399 p=1342.565417
-400 p=1344.034402
-401 p=1342.112682
-402 p=1343.117870
-403 p=1342.714631
-404 p=1340.027544
-405 p=1341.481668
-406 p=1341.888937
-407 p=1342.995983
-408 p=1341.541588
-409 p=1342.239618
-410 p=1340.688961
-411 p=1342.045625
-412 p=1341.700204
-413 p=1342.591484
-414 p=1341.871549
-415 p=1342.143028
-416 p=1341.967675
-417 p=1341.624103
-418 p=1343.369031
-419 p=1343.441723
-420 p=1344.072939
-421 p=1343.238342
-422 p=1343.221698
-423 p=1341.169199
-424 p=1342.459956
-425 p=1340.907679
-426 p=1341.360060
-427 p=1342.685813
-428 p=1343.651972
-429 p=1343.265787
-430 p=1342.077927
-431 p=1341.235581
-432 p=1341.717201
-433 p=1342.671547
-434 p=1342.431508
-435 p=1340.836613
-436 p=1341.329188
-437 p=1339.546412
-438 p=1339.571213
-439 p=1339.829278
-440 p=1340.142427
-441 p=1339.905937
-442 p=1339.687721
-443 p=1342.441312
-444 p=1342.134898
-445 p=1342.577623
-446 p=1342.122614
-447 p=1342.135676
-448 p=1341.727727
-449 p=1341.526563
-450 p=1342.181135
-451 p=1341.553561
-452 p=1341.845138
-453 p=1340.799255
-454 p=1339.911016
-455 p=1340.788776
-456 p=1341.228863
-457 p=1340.320407
-458 p=1342.865439
-459 p=1340.991052
-460 p=1340.731640
-461 p=1341.726781
-462 p=1339.673434
-463 p=1340.541932
-464 p=1339.292153
-465 p=1339.391696
-466 p=1339.994616
-467 p=1339.742402
-468 p=1338.462233
-469 p=1339.885839
-470 p=1340.558489
-471 p=1340.805220
-472 p=1344.092699
-473 p=1344.562107
-474 p=1340.777123
-475 p=1340.086975
-476 p=1340.094307
-477 p=1338.585182
-478 p=1339.663252
-479 p=1341.818054
-480 p=1343.814656
-481 p=1341.855736
-482 p=1342.109919
-483 p=1343.810933
-484 p=1342.173759
-485 p=1341.484856
-486 p=1340.858640
-487 p=1341.858159
-488 p=1341.933316
-489 p=1341.574026
-490 p=1340.194982
-491 p=1340.209456
-492 p=1340.613827
-493 p=1342.218028
-494 p=1340.234514
-495 p=1339.624692
-496 p=1338.821778
-497 p=1337.971560
-498 p=1337.406367
-499 p=1338.722546
-500 p=1337.847806
-501 p=1339.100991
-502 p=1341.627002
